iter	Passed	Remaining
0	14	14603
1	28	14059
2	41	13843
3	55	13750
4	69	13749
5	82	13692
6	94	13450
7	106	13226
8	118	13080
9	131	12994
10	139	12569
11	146	12097
12	153	11645
13	159	11211
14	164	10816
15	169	10447
16	174	10118
17	179	9818
18	185	9558
19	190	9324
20	195	9109
21	200	8905
22	205	8726
23	210	8565
24	215	8411
25	220	8271
26	225	8137
27	230	8009
28	235	7894
29	240	7786
30	246	7689
31	251	7602
32	256	7516
33	261	7432
34	266	7351
35	271	7273
36	276	7204
37	282	7140
38	287	7076
39	292	7011
40	297	6953
41	302	6899
42	307	6844
43	312	6794
44	317	6747
45	323	6700
46	328	6655
47	333	6610
48	338	6566
49	343	6524
50	348	6482
51	353	6446
52	358	6411
53	363	6375
54	369	6342
55	374	6307
56	379	6276
57	384	6243
58	389	6211
59	394	6182
60	399	6151
61	404	6121
62	409	6094
63	414	6067
64	419	6041
65	424	6013
66	430	5990
67	435	5966
68	440	5943
69	445	5919
70	450	5895
71	455	5864
72	460	5844
73	465	5822
74	470	5801
75	475	5781
76	480	5761
77	485	5737
78	490	5719
79	495	5698
80	500	5678
81	505	5661
82	510	5644
83	516	5628
84	521	5610
85	526	5591
86	531	5574
87	536	5557
88	541	5539
89	546	5526
90	551	5509
91	556	5492
92	561	5478
93	566	5462
94	571	5448
95	576	5431
96	581	5417
97	587	5404
98	592	5391
99	597	5377
100	602	5364
101	607	5352
102	613	5338
103	618	5325
104	623	5311
105	628	5297
106	633	5283
107	638	5270
108	643	5257
109	648	5244
110	653	5231
111	658	5218
112	663	5205
113	668	5194
114	673	5182
115	678	5169
116	683	5157
117	688	5146
118	693	5134
119	698	5123
120	703	5112
121	708	5100
122	713	5088
123	718	5077
124	723	5065
125	728	5055
126	733	5042
127	738	5031
128	743	5023
129	749	5014
130	754	5005
131	759	4995
132	764	4986
133	770	4977
134	775	4967
135	779	4954
136	784	4941
137	789	4933
138	795	4924
139	800	4917
140	805	4907
141	810	4897
142	815	4888
143	820	4879
144	826	4870
145	831	4863
146	836	4854
147	841	4845
148	846	4836
149	852	4829
150	857	4822
151	862	4813
152	867	4805
153	873	4799
154	878	4790
155	883	4781
156	888	4772
157	894	4764
158	899	4756
159	904	4747
160	909	4739
161	914	4730
162	919	4721
163	924	4713
164	929	4704
165	934	4695
166	939	4687
167	944	4679
168	950	4671
169	955	4663
170	960	4655
171	965	4647
172	970	4639
173	975	4630
174	980	4620
175	985	4611
176	990	4603
177	995	4595
178	1000	4588
179	1005	4581
180	1010	4573
181	1015	4565
182	1020	4558
183	1026	4550
184	1031	4542
185	1036	4535
186	1041	4527
187	1046	4520
188	1051	4513
189	1057	4506
190	1062	4499
191	1067	4491
192	1072	4484
193	1077	4476
194	1082	4469
195	1087	4462
196	1092	4454
197	1097	4445
198	1102	4438
199	1107	4431
200	1112	4423
201	1117	4415
