iter	Passed	Remaining
0	3	3800
1	7	3668
2	10	3640
3	14	3618
4	18	3612
5	21	3609
6	25	3590
7	28	3575
8	32	3571
9	36	3567
10	39	3570
11	43	3565
12	46	3566
13	50	3574
14	54	3573
15	58	3577
16	61	3577
17	65	3584
18	69	3583
19	73	3577
20	76	3575
21	80	3576
22	84	3572
23	87	3568
24	91	3566
25	95	3561
26	98	3558
27	102	3554
28	105	3544
29	109	3540
30	113	3538
31	116	3526
32	120	3523
33	123	3521
34	127	3517
35	131	3514
36	135	3513
37	138	3510
38	142	3505
39	145	3500
40	149	3499
41	153	3498
42	156	3492
43	160	3489
44	164	3486
45	167	3483
46	171	3480
47	175	3479
48	178	3473
49	182	3471
50	186	3465
51	189	3462
52	193	3459
53	197	3456
54	200	3451
55	204	3448
56	208	3443
57	211	3439
58	215	3436
59	219	3432
60	222	3428
61	226	3426
62	230	3422
63	233	3420
64	237	3417
65	241	3415
66	244	3411
67	248	3408
68	252	3405
69	256	3401
70	259	3392
71	262	3377
72	265	3370
73	268	3364
74	272	3359
75	276	3356
76	279	3350
77	282	3344
78	286	3340
79	290	3337
80	293	3334
81	297	3327
82	301	3326
83	304	3321
84	307	3314
85	310	3304
86	314	3295
87	317	3288
88	320	3285
89	324	3283
90	328	3278
91	331	3275
92	335	3273
93	339	3270
94	343	3267
95	346	3263
96	350	3261
97	354	3260
98	358	3258
99	361	3255
100	365	3252
101	369	3249
102	372	3245
103	376	3241
104	380	3239
105	383	3238
106	387	3234
107	391	3230
108	394	3227
109	398	3225
110	402	3223
111	406	3220
112	409	3216
113	413	3212
114	417	3209
115	420	3205
116	423	3199
117	427	3197
118	431	3195
119	435	3192
120	439	3189
121	442	3186
122	446	3183
123	450	3180
124	453	3177
125	457	3173
126	461	3170
127	464	3166
128	468	3163
129	472	3159
130	475	3155
131	479	3152
132	482	3148
133	486	3145
134	490	3141
135	493	3137
136	497	3135
137	501	3131
138	504	3127
139	508	3123
140	512	3119
141	515	3116
142	519	3113
143	523	3109
144	526	3106
145	530	3103
146	534	3099
147	537	3095
148	541	3091
149	544	3087
150	548	3085
151	552	3081
152	555	3077
153	559	3074
154	563	3071
155	566	3066
156	570	3063
157	574	3059
158	577	3056
159	581	3053
160	585	3049
161	588	3045
162	592	3041
163	596	3039
164	599	3035
165	603	3033
166	607	3029
167	610	3025
168	614	3021
169	618	3018
170	621	3015
171	625	3011
172	629	3008
173	632	3004
174	636	3000
175	640	2997
176	643	2993
177	647	2989
178	651	2986
179	654	2981
180	658	2978
181	661	2974
182	666	2973
183	669	2969
184	673	2965
185	676	2962
186	680	2958
187	684	2954
188	687	2951
189	691	2947
190	694	2943
191	698	2940
192	702	2937
193	706	2933
194	709	2930
195	713	2927
196	717	2923
197	720	2920
198	724	2916
199	728	2912
200	731	2908
201	735	2905
202	739	2901
203	742	2898
204	746	2894
205	750	2891
206	753	2888
207	757	2884
208	761	2881
209	764	2876
210	768	2873
211	772	2870
212	775	2866
213	779	2863
214	783	2859
215	786	2855
216	790	2852
217	794	2848
218	797	2844
219	801	2841
220	805	2837
221	808	2834
222	812	2830
223	816	2827
224	819	2823
225	823	2820
226	827	2816
227	830	2813
228	834	2809
229	837	2804
230	841	2801
231	845	2797
232	848	2794
233	852	2790
234	856	2786
235	859	2783
236	863	2779
237	866	2775
238	870	2772
239	874	2768
240	877	2764
241	881	2760
242	885	2757
243	888	2753
244	892	2749
245	896	2746
246	899	2743
247	903	2739
248	906	2735
249	910	2731
250	914	2727
251	917	2723
252	921	2720
253	924	2716
254	928	2712
255	931	2708
256	935	2703
257	938	2700
258	942	2697
259	946	2693
260	950	2690
261	953	2686
262	957	2682
263	961	2679
264	964	2675
265	968	2672
266	972	2668
267	975	2664
268	979	2661
269	983	2657
270	986	2654
271	990	2650
272	993	2646
273	997	2643
274	1001	2639
275	1004	2635
276	1008	2632
277	1012	2628
278	1015	2625
279	1019	2621
280	1023	2618
281	1027	2615
282	1030	2611
283	1034	2607
284	1038	2604
285	1041	2600
286	1045	2596
287	1049	2593
288	1052	2589
289	1056	2586
290	1059	2582
291	1062	2577
292	1066	2573
293	1070	2570
294	1073	2566
295	1077	2563
296	1081	2559
297	1084	2555
298	1088	2552
299	1092	2548
300	1095	2545
301	1099	2541
302	1103	2538
303	1107	2535
304	1111	2531
305	1114	2528
306	1118	2524
307	1122	2521
308	1125	2517
309	1129	2513
310	1132	2509
